meaning,kana
chân,あし
cái lược,くし
con sò,かい
dưa hấu,すいか
mồ hôi,あせ
ga tàu,えき
bức tranh,え
màu xanh lam,あおい
cái hồ,いけ
con bò,うし
cái ô,かさ
màu đỏ,あかい
mùa thu,あき
cái ghế,いす
trống,たいこ
tay,て
ngôi nhà,うち
đôi giày,くつ
con cá,さかな
con cua,かに
lửa,ひ
con chó,いぬ
con mèo,ねこ
cái cầu,はし
cây sáo,ふえ
ngôi sao,ほし
ngày hôm kia,おととい
tiền,おかね
đất nước,くに
thịt,にく
con thuyền,ふね
hoa,はな
con ngựa,うま
mắt,め
tai,みみ
côn trùng,むし
núi,やま
mây,くも
tuyết,ゆき
buổi tối/đêm,よる
hoa anh đào,さくら
con khỉ,さる
con sông,かわ
biển,うみ
mưa,あめ
mua sắm,かいもの
giấc mơ,ゆめ
khu vườn,にわ
núi Phú Sĩ,ふじさん
tờ báo,しんぶん
kính mắt,めがね
gạt tàn,はいざら
guốc Nhật,げた
cơm,ごはん
chìa khóa,かぎ
quả táo,りんご
họa sĩ,がか
điện thoại,でんわ
ngân hàng,ぎんこう
bức tường,かべ
bên phải,みぎ
cửa sổ,まど
bút chì,えんぴつ
nước,みず
buổi chiều (p.m),ごご
gia đình,かぞく
buổi sáng (a.m),ごぜん
tủ lạnh,れいぞうこ
tiếng Anh,えいご
máy bay,ひこうき
học sinh,がくせい
thứ Hai,げつようび
không khí,くうき
trái cây,くだもの
to lớn,おおきい
cái mũ,ぼうし
quân đội,ぐんじん
cái cặp,かばん
bì thư,ふうとう
đồng hồ,とけい